ITEM	LOCAL	TEMPO DE RETORNO (anos)	IP (mm/h)
84	Soure/PA	5	162
85	Taperinha/PA	5	202
86	Taubat é/SP	5	172
87	Teófilo Otoni/MG	5	121
88	Teresina/PI	5	240
89	Teresópolis/RJ	5	149
90	Tupi/SP	5	154
91	Turiaçu/MG	5	162
92	Uaupés/AM	5	204
93	Ubatuba/SP	5	149
94	Uruguaiana/RS	5	142
95	Vassouras/RJ	5	179
96	Viamão/RS	5	126
97	Vitória/ES	5	156
98	Volta Redonda/RJ	5	216
1	Alegrete/RS	17	313
2	Alto Itatiaia/RJ	25	240
3	Alto Tapajós/PA	21	267
5	Aracaju/SE	25	126
6	Avaré/SP	25	170
7	Bagé/RS	10	234
8	Barbacena/MG	12	265
9	Barra do Corda/MA	20	152
10	Bauru/SP	9	148
11	Belém/PA	20	185
12	Belo Horizonte/MG	12	230
13	Blumenau/SC	15	152
15	Cabo Frio/RJ	25	218
16	Campos/RJ	25	240
17	Campos do Jordão/SP	9	164
18	Catalão/GO	22	198
20	Caxias do Sul/RS	25	218
21	Corumbá/MT	9	161
22	Cruz Alta/RS	14	347
23	Cuiabá/MT	12	230
24	Curitiba/PR	25	228
25	Encruzilhada/RS	17	158
26	Fernando de Noronha/FN	6	140
27	Florianópolis/SC	25	144
28	Formosa/GO	20	217
29	Fortaleza/CE	21	180
30	Goiânia/GO	17	192
31	Guaramiranga/CE	19	152
32	Iraí/RS	16	228
33	Jacarezinho/PR	11	146
34	João Pessoa/PB Pessoa/PB	23	163
35	Juaretê/AM	10	288
36	km 47 - Rodovia Presidente Dutra/RJ	14	174
37	Lins/SP 96	13	137
38	Maceió/AL	25	174
39	Manaus/AM	25	198
40	Natal/RN	19	143
41	Nazaré/PE	19	155
42	Niterói/RJ	25	250
43	Nova Friburgo/RJ	25	156
44	Olinda/PE	20	173
47	Paranaguá/PR	23	191
48	Paratins/AM	13	205
49	Passa Quatro/MG	10	192
50	Passo Fundo/RS	25	180
51	Petrópolis/RJ	25	156
52	Pinheiral/RJ	25	244
53	Piracicaba/SP	10	151
54	Ponta Grossa/PR	25	148
55	Porto Alegre/RS	21	167
56	Porto Velho/RO	10	184
57	Quixeramobim/CE	25	126
58	Resende/RJ	25	264
60	Rio de Janeiro/RJ (Bangu)	20	174
61	Rio de Janeiro/RJ (Ipanema)	15	160
62	Rio de Janeiro/RJ (Jacarepaguá)	6	152
63	Rio de Janeiro/RJ (Jardim Botânico)	25	227
64	Rio de Janeiro/RJ (Praça XV)	14	204
65	Rio de Janeiro/RJ (Praça Saenz Peña)	18	167
66	Rio de Janeiro/RJ (Santa Cruz)	20	172
67	Rio Grande/RS	20	222
68	Salvador/BA	24	145
69	Santa Maria/RS	16	145
70	Santa Maria Madalena/RJ	7	152
71	Santa Vitória do Palmar/RS	18	152
72	Santos/SP	25	240
73	Santos-Itapema/SP	21	204
74	São Carlos/SP	10	161
75	São Francisco do Sul/SC	18	167
76	São Gonçalo/PB	15	152
77	São Luiz/MA	21	152
78	São Luiz Gonzaga/RS	21	253
80	São Paulo/SP (Mirante Santana)	7	191
81	São Simão/SP	25	175
82	Sena Madureira/AC	7	170
83	Sete Lagoas/MG	19	281
84	Soure/PA	18	212
85	Taperinha/PA	25	241
86	Taubat é/SP	6	208
87	Teófilo Otoni/MG	6	154
88	Teresina/PI	23	262
89	Teresópolis/RJ	25	176
91	Turiaçu/MG	25	230
92	Uaupés/AM	17	230
93	Ubatuba/SP	7	184
94	Uruguaiana/RS	17	161
95	Vassouras/RJ	25	222
96	Viamão/RS	15	152
97	Vitória/ES	25	210
98	Volta Redonda/RJ	13	265
