Fator de Falha (%)	Tempo Entre Descargas (min)	Duração de Descarga (s)	Nº de Peças Total	Nº de Peças Simultâneas
1,0	20	75	15	4
1,0	20	100	15	4
1,0	20	300	15	8
1,0	20	350	15	9
1,0	20	400	15	9
1,0	20	450	15	10
1,0	20	500	15	11
1,0	20	10	16	1
1,0	20	20	16	2
1,0	20	30	16	2
1,0	20	40	16	3
1,0	20	50	16	3
1,0	20	75	16	4
1,0	20	100	16	4
1,0	20	300	16	8
1,0	20	350	16	9
1,0	20	400	16	10
1,0	20	450	16	11
1,0	20	500	16	11
1,0	20	10	17	1
1,0	20	20	17	2
1,0	20	30	17	2
1,0	20	40	17	3
1,0	20	50	17	3
1,0	20	75	17	4
1,0	20	100	17	5
1,0	20	300	17	9
1,0	20	350	17	10
1,0	20	400	17	10
1,0	20	450	17	11
1,0	20	500	17	12
1,0	20	10	18	1
1,0	20	20	18	2
1,0	20	30	18	2
1,0	20	40	18	3
1,0	20	50	18	3
1,0	20	75	18	4
1,0	20	100	18	5
1,0	20	300	18	9
1,0	20	350	18	10
1,0	20	400	18	11
1,0	20	450	18	12
1,0	20	500	18	12
1,0	20	10	19	2
1,0	20	20	19	2
1,0	20	30	19	3
1,0	20	40	19	3
1,0	20	50	19	3
1,0	20	75	19	4
1,0	20	100	19	5
1,0	20	300	19	9
1,0	20	350	19	10
1,0	20	400	19	11
1,0	20	450	19	12
1,0	20	500	19	13
1,0	20	10	20	2
1,0	20	20	20	2
1,0	20	30	20	3
1,0	20	40	20	3
1,0	20	50	20	3
1,0	20	75	20	4
1,0	20	100	20	5
1,0	20	300	20	10
1,0	20	350	20	11
1,0	20	400	20	12
1,0	20	450	20	13
1,0	20	500	20	13
1,0	20	10	25	2
1,0	20	20	25	2
1,0	20	30	25	3
1,0	20	40	25	3
1,0	20	50	25	4
1,0	20	75	25	5
1,0	20	100	25	6
1,0	20	300	25	12
1,0	20	350	25	13
1,0	20	400	25	14
1,0	20	450	25	15
1,0	20	500	25	16
1,0	20	10	30	2
1,0	20	20	30	3
1,0	20	30	30	3
1,0	20	40	30	4
1,0	20	50	30	4
1,0	20	75	30	5
1,0	20	100	30	7
1,0	20	300	30	13
1,0	20	350	30	15
1,0	20	400	30	16
1,0	20	450	30	18
1,0	20	500	30	19
1,0	20	10	35	2
1,0	20	20	35	3
1,0	20	30	35	4
1,0	20	40	35	4
1,0	20	50	35	5
1,0	20	75	35	6
1,0	20	100	35	7
1,0	20	300	35	15
1,0	20	350	35	17
1,0	20	400	35	18
1,0	20	450	35	20
1,0	20	500	35	21
1,0	20	10	40	2
1,0	20	20	40	3
1,0	20	30	40	4
1,0	20	40	40	5
1,0	20	50	40	5
1,0	20	75	40	7
1,0	20	100	40	8
1,0	20	300	40	17
1,0	20	350	40	19
1,0	20	400	40	20
1,0	20	450	40	22
1,0	20	500	40	24
1,0	20	10	45	2
1,0	20	20	45	3
1,0	20	30	45	4
1,0	20	40	45	5
1,0	20	50	45	6
1,0	20	75	45	7
1,0	20	100	45	9
1,0	20	300	45	18
1,0	20	350	45	20
1,0	20	400	45	23
1,0	20	450	45	25
1,0	20	500	45	27
1,0	20	10	50	2
1,0	20	20	50	3
1,0	20	30	50	4
1,0	20	40	50	5
1,0	20	50	50	6
1,0	20	75	50	8
1,0	20	100	50	9
1,0	20	300	50	20
1,0	20	350	50	22
1,0	20	400	50	25
1,0	20	450	50	27
1,0	20	500	50	29
1,0	25	10	1	1
1,0	25	20	1	1
1,0	25	30	1	1
1,0	25	40	1	1
1,0	25	50	1	1
1,0	25	75	1	1
1,0	25	100	1	1
1,0	25	300	1	1
1,0	25	350	1	1
1,0	25	400	1	1
1,0	25	450	1	1
1,0	25	500	1	1
1,0	25	10	2	1
1,0	25	20	2	1
1,0	25	30	2	1
1,0	25	40	2	1
1,0	25	50	2	1
1,0	25	75	2	1
1,0	25	100	2	1
1,0	25	300	2	2
1,0	25	350	2	2
1,0	25	400	2	2
1,0	25	450	2	2
1,0	25	500	2	2
1,0	25	10	3	1
1,0	25	20	3	1
1,0	25	30	3	1
1,0	25	40	3	1
1,0	25	50	3	1
1,0	25	75	3	1
1,0	25	100	3	2
1,0	25	300	3	2
1,0	25	350	3	3
1,0	25	400	3	3
1,0	25	450	3	3
1,0	25	500	3	3
1,0	25	10	4	1
1,0	25	20	4	1
1,0	25	30	4	1
1,0	25	40	4	1
1,0	25	50	4	1
1,0	25	75	4	2
1,0	25	100	4	2
1,0	25	300	4	3
1,0	25	350	4	3
1,0	25	400	4	3
1,0	25	450	4	3
1,0	25	500	4	4
1,0	25	10	5	1
1,0	25	20	5	1
1,0	25	30	5	1
1,0	25	40	5	1
1,0	25	50	5	2
1,0	25	75	5	2
1,0	25	100	5	2
1,0	25	300	5	3
1,0	25	350	5	4
1,0	25	400	5	4
1,0	25	450	5	4
1,0	25	500	5	4
1,0	25	10	6	1
1,0	25	20	6	1
1,0	25	30	6	1
1,0	25	40	6	1
1,0	25	50	6	2
1,0	25	75	6	2
1,0	25	100	6	2
1,0	25	300	6	4
1,0	25	350	6	4
1,0	25	400	6	4
1,0	25	450	6	5
1,0	25	500	6	5
1,0	25	10	7	1
1,0	25	20	7	1
1,0	25	30	7	1
1,0	25	40	7	2
1,0	25	50	7	2
1,0	25	75	7	2
1,0	25	100	7	2
1,0	25	300	7	4
1,0	25	350	7	4
1,0	25	400	7	5
1,0	25	450	7	5
1,0	25	500	7	5
1,0	25	10	8	1
1,0	25	20	8	1
1,0	25	30	8	2
1,0	25	40	8	2
1,0	25	50	8	2
1,0	25	75	8	2
1,0	25	100	8	3
1,0	25	300	8	5
1,0	25	350	8	5
1,0	25	400	8	5
1,0	25	450	8	6
1,0	25	500	8	6
1,0	25	10	9	1
1,0	25	20	9	1
1,0	25	30	9	2
1,0	25	40	9	2
1,0	25	50	9	2
1,0	25	75	9	2
1,0	25	100	9	3
1,0	25	300	9	5
1,0	25	350	9	5
1,0	25	400	9	6
1,0	25	450	9	6
1,0	25	500	9	6
1,0	25	10	10	1
1,0	25	20	10	1
1,0	25	30	10	2
1,0	25	40	10	2
1,0	25	50	10	2
1,0	25	75	10	3
1,0	25	100	10	3
1,0	25	300	10	5
1,0	25	350	10	6
1,0	25	400	10	6
1,0	25	450	10	7
1,0	25	500	10	7
1,0	25	10	11	1
1,0	25	20	11	1
1,0	25	30	11	2
1,0	25	40	11	2
1,0	25	50	11	2
1,0	25	75	11	3
1,0	25	100	11	3
1,0	25	300	11	6
1,0	25	350	11	6
1,0	25	400	11	7
1,0	25	450	11	7
1,0	25	500	11	7
1,0	25	10	12	1
1,0	25	20	12	2
1,0	25	30	12	2
1,0	25	40	12	2
1,0	25	50	12	2
1,0	25	75	12	3
1,0	25	100	12	3
1,0	25	300	12	6
1,0	25	350	12	6
1,0	25	400	12	7
1,0	25	450	12	7
1,0	25	500	12	8
1,0	25	10	13	1
1,0	25	20	13	2
1,0	25	30	13	2
1,0	25	40	13	2
1,0	25	50	13	2
1,0	25	75	13	3
1,0	25	100	13	3
1,0	25	300	13	6
1,0	25	350	13	7
1,0	25	400	13	7
1,0	25	450	13	8
1,0	25	500	13	8
1,0	25	10	14	1
1,0	25	20	14	2
1,0	25	30	14	2
1,0	25	40	14	2
1,0	25	50	14	3
1,0	25	75	14	3
1,0	25	100	14	4
1,0	25	300	14	7
1,0	25	350	14	7
1,0	25	400	14	8
1,0	25	450	14	8
1,0	25	500	14	9
1,0	25	10	15	1
1,0	25	20	15	2
1,0	25	30	15	2
1,0	25	40	15	2
1,0	25	50	15	3
1,0	25	75	15	3
1,0	25	100	15	4
1,0	25	300	15	7
1,0	25	350	15	8
1,0	25	400	15	8
1,0	25	450	15	9
1,0	25	500	15	9
1,0	25	10	16	1
1,0	25	20	16	2
1,0	25	30	16	2
1,0	25	40	16	2
1,0	25	50	16	3
1,0	25	75	16	3
1,0	25	100	16	4
1,0	25	300	16	7
1,0	25	350	16	8
1,0	25	400	16	9
1,0	25	450	16	9
1,0	25	500	16	10
1,0	25	10	17	1
1,0	25	20	17	2
1,0	25	30	17	2
1,0	25	40	17	2
1,0	25	50	17	3
1,0	25	75	17	3
1,0	25	100	17	4
1,0	25	300	17	8
1,0	25	350	17	8
1,0	25	400	17	9
1,0	25	450	17	10
1,0	25	500	17	10
1,0	25	10	18	1
1,0	25	20	18	2
1,0	25	30	18	2
1,0	25	40	18	3
1,0	25	50	18	3
1,0	25	75	18	4
1,0	25	100	18	4
1,0	25	300	18	8
1,0	25	350	18	9
1,0	25	400	18	9
1,0	25	450	18	10
1,0	25	500	18	11
1,0	25	10	19	1
1,0	25	20	19	2
1,0	25	30	19	2
1,0	25	40	19	3
1,0	25	50	19	3
1,0	25	75	19	4
1,0	25	100	19	4
1,0	25	300	19	8
1,0	25	350	19	9
1,0	25	400	19	10
1,0	25	450	19	11
1,0	25	500	19	11
1,0	25	10	20	1
1,0	25	20	20	2
1,0	25	30	20	2
1,0	25	40	20	3
1,0	25	50	20	3
1,0	25	75	20	4
1,0	25	100	20	4
1,0	25	300	20	8
1,0	25	350	20	9
1,0	25	400	20	10
1,0	25	450	20	11
1,0	25	500	20	12
1,0	25	10	25	2
1,0	25	20	25	2
1,0	25	30	25	3
1,0	25	40	25	3
1,0	25	50	25	3
1,0	25	75	25	4
1,0	25	100	25	5
1,0	25	300	25	10
1,0	25	350	25	11
1,0	25	400	25	12
1,0	25	450	25	13
1,0	25	500	25	14
1,0	25	10	30	2
1,0	25	20	30	2
1,0	25	30	30	3
1,0	25	40	30	3
1,0	25	50	30	4
1,0	25	75	30	5
1,0	25	100	30	6
1,0	25	300	30	11
1,0	25	350	30	13
1,0	25	400	30	14
1,0	25	450	30	15
1,0	25	500	30	16
1,0	25	10	35	2
1,0	25	20	35	3
1,0	25	30	35	3
1,0	25	40	35	4
1,0	25	50	35	4
1,0	25	75	35	5
1,0	25	100	35	6
1,0	25	300	35	13
1,0	25	350	35	14
1,0	25	400	35	16
1,0	25	450	35	17
1,0	25	500	35	18
1,0	25	10	40	2
1,0	25	20	40	9
1,0	25	30	40	9
1,0	25	40	40	4
1,0	25	50	40	5
1,0	25	75	40	6
1,0	25	100	40	7
1,0	25	300	40	14
1,0	25	350	40	16
1,0	25	400	40	17
1,0	25	450	40	19
1,0	25	500	40	20
1,0	25	10	45	2
1,0	25	20	45	3
1,0	25	30	45	4
1,0	25	40	45	4
1,0	25	50	45	5
1,0	25	75	45	6
1,0	25	100	45	7
1,0	25	300	45	16
1,0	25	350	45	17
1,0	25	400	45	19
1,0	25	450	45	21
1,0	25	500	45	23
1,0	25	10	50	2
1,0	25	20	50	3
1,0	25	30	50	4
1,0	25	40	50	5
1,0	25	50	50	5
1,0	25	75	50	7
1,0	25	100	50	8
1,0	25	300	50	17
1,0	25	350	50	19
1,0	25	400	50	21
1,0	25	450	50	23
1,0	25	500	50	25
1,0	30	10	1	1
1,0	30	20	1	1
1,0	30	30	1	1
1,0	30	40	1	1
1,0	30	50	1	1
1,0	30	75	1	1
1,0	30	100	1	1
1,0	30	300	1	1
1,0	30	350	1	1
1,0	30	400	1	1
1,0	30	450	1	1
1,0	30	500	1	1
1,0	30	10	2	1
1,0	30	20	2	1
1,0	30	30	2	1
1,0	30	40	2	1
1,0	30	50	2	1
1,0	30	75	2	1
1,0	30	100	2	1
1,0	30	300	2	2
1,0	30	350	2	2
1,0	30	400	2	2
1,0	30	450	2	2
1,0	30	500	2	2
1,0	30	10	3	1
1,0	30	20	3	1
1,0	30	30	3	1
1,0	30	40	3	1
1,0	30	50	3	1
1,0	30	75	3	1
1,0	30	100	3	1
1,0	30	300	3	2
1,0	30	350	3	2
1,0	30	400	3	3
1,0	30	450	3	3
1,0	30	500	3	3
1,0	30	10	4	1
1,0	30	20	4	1
1,0	30	30	4	1
1,0	30	40	4	1
1,0	30	50	4	1
1,0	30	75	4	1
1,0	30	100	4	1
1,0	30	300	4	2
1,0	30	350	4	3
1,0	30	400	4	3
1,0	30	450	4	3
1,0	30	500	4	3
1,0	30	10	5	1
1,0	30	20	5	1
1,0	30	30	5	1
1,0	30	40	5	1
1,0	30	50	5	1
1,0	30	75	5	2
1,0	30	100	5	2
1,0	30	300	5	3
1,0	30	350	5	3
1,0	30	400	5	4
1,0	30	450	5	4
1,0	30	500	5	4
1,0	30	10	6	1
1,0	30	20	6	1
1,0	30	30	6	1
1,0	30	40	6	1
1,0	30	50	6	2
1,0	30	75	6	2
1,0	30	100	6	2
1,0	30	300	6	3
1,0	30	350	6	4
1,0	30	400	6	4
1,0	30	450	6	4
1,0	30	500	6	4
1,0	30	10	7	1
1,0	30	20	7	1
1,0	30	30	7	1
1,0	30	40	7	1
1,0	30	50	7	2
1,0	30	75	7	2
1,0	30	100	7	2
1,0	30	300	7	4
1,0	30	350	7	4
1,0	30	400	7	4
1,0	30	450	7	5
1,0	30	500	7	5
1,0	30	10	8	1
1,0	30	20	8	1
1,0	30	30	8	1
1,0	30	40	8	2
1,0	30	50	8	2
1,0	30	75	8	2
1,0	30	100	8	2
1,0	30	300	8	4
1,0	30	350	8	4
1,0	30	400	8	5
1,0	30	450	8	5
1,0	30	500	8	5
1,0	30	10	9	1
1,0	30	20	9	1
1,0	30	30	9	1
1,0	30	40	9	2
1,0	30	50	9	2
1,0	30	75	9	2
1,0	30	100	9	3
1,0	30	300	9	4
1,0	30	350	9	5
1,0	30	400	9	5
1,0	30	450	9	5
1,0	30	500	9	6
1,0	30	10	10	1
1,0	30	20	10	1
1,0	30	30	10	2
1,0	30	40	10	2
1,0	30	50	10	2
1,0	30	75	10	2
1,0	30	100	10	3
1,0	30	300	10	5
1,0	30	350	10	5
1,0	30	400	10	6
1,0	30	450	10	6
1,0	30	500	10	6
1,0	30	10	11	1
1,0	30	20	11	1
1,0	30	30	11	2
1,0	30	40	11	2
1,0	30	50	11	2
1,0	30	75	11	2
1,0	30	100	11	3
1,0	30	300	11	5
1,0	30	350	11	6
1,0	30	400	11	6
1,0	30	450	11	6
1,0	30	500	11	7
1,0	30	10	12	1
1,0	30	20	12	1
1,0	30	30	12	2
1,0	30	40	12	2
1,0	30	50	12	2
1,0	30	75	12	3
1,0	30	100	12	3
1,0	30	300	12	5
1,0	30	350	12	6
1,0	30	400	12	6
1,0	30	450	12	7
1,0	30	500	12	7
1,0	30	10	13	1
1,0	30	20	13	1
1,0	30	30	13	2
1,0	30	40	13	2
1,0	30	50	13	2
1,0	30	75	13	3
1,0	30	100	13	3
1,0	30	300	13	6
1,0	30	350	13	6
1,0	30	400	13	7
1,0	30	450	13	7
1,0	30	500	13	8
1,0	30	10	14	1
1,0	30	20	14	2
1,0	30	30	14	2
1,0	30	40	14	2
1,0	30	50	14	2
1,0	30	75	14	3
1,0	30	100	14	3
1,0	30	300	14	6
1,0	30	350	14	6
1,0	30	400	14	7
1,0	30	450	14	8
1,0	30	500	14	8
1,0	30	10	15	1
1,0	30	20	15	2
1,0	30	30	15	2
1,0	30	40	15	2
1,0	30	50	15	2
1,0	30	75	15	3
1,0	30	100	15	3
1,0	30	300	15	6
1,0	30	350	15	7
1,0	30	400	15	7
1,0	30	450	15	8
1,0	30	500	15	8
1,0	30	10	16	1
1,0	30	20	16	2
1,0	30	30	16	2
1,0	30	40	16	2
1,0	30	50	16	2
1,0	30	75	16	3
1,0	30	100	16	4
1,0	30	300	16	7
1,0	30	350	16	7
1,0	30	400	16	8
1,0	30	450	16	8
1,0	30	500	16	9
1,0	30	10	17	1
1,0	30	20	17	2
1,0	30	30	17	2
1,0	30	40	17	2
1,0	30	50	17	3
1,0	30	75	17	3
1,0	30	100	17	4
1,0	30	300	17	7
1,0	30	350	17	7
1,0	30	400	17	8
1,0	30	450	17	9
1,0	30	500	17	9
1,0	30	10	18	1
1,0	30	20	18	2
1,0	30	30	18	2
1,0	30	40	18	2
1,0	30	50	18	3
1,0	30	75	18	3
1,0	30	100	18	4
1,0	30	300	18	7
1,0	30	350	18	8
1,0	30	400	18	8
1,0	30	450	18	9
1,0	30	500	18	10
1,0	30	10	19	1
1,0	30	20	19	2
1,0	30	30	19	2
1,0	30	40	19	2
1,0	30	50	19	3
1,0	30	75	19	3
1,0	30	100	19	4
1,0	30	300	19	7
1,0	30	350	19	8
1,0	30	400	19	9
1,0	30	450	19	9
1,0	30	500	19	10
1,0	30	10	20	1
1,0	30	20	20	2
1,0	30	30	20	2
1,0	30	40	20	2
1,0	30	50	20	3
1,0	30	75	20	3
1,0	30	100	20	4
1,0	30	300	20	8
1,0	30	350	20	8
1,0	30	400	20	9
1,0	30	450	20	10
1,0	30	500	20	10
1,0	30	10	25	1
1,0	30	20	25	2
1,0	30	30	25	2
1,0	30	40	25	3
1,0	30	50	25	3
1,0	30	75	25	4
1,0	30	100	25	5
1,0	30	300	25	9
1,0	30	350	25	10
1,0	30	400	25	11
1,0	30	450	25	12
1,0	30	500	25	12
1,0	30	10	30	2
1,0	30	20	30	2
1,0	30	30	30	3
1,0	30	40	30	3
1,0	30	50	30	3
1,0	30	75	30	4
1,0	30	100	30	5
1,0	30	300	30	10
1,0	30	350	30	11
1,0	30	400	30	12
1,0	30	450	30	13
1,0	30	500	30	14
1,0	30	10	35	2
1,0	30	20	35	2
1,0	30	30	35	3
1,0	30	40	35	3
1,0	30	50	35	4
1,0	30	75	35	5
1,0	30	100	35	6
1,0	30	300	35	11
1,0	30	350	35	13
1,0	30	400	35	14
1,0	30	450	35	15
1,0	30	500	35	16
1,0	30	10	40	2
1,0	30	20	40	2
1,0	30	30	40	3
1,0	30	40	40	4
1,0	30	50	40	4
1,0	30	75	40	5
1,0	30	100	40	6
1,0	30	300	40	13
1,0	30	350	40	14
1,0	30	400	40	15
1,0	30	450	40	17
1,0	30	500	40	18
1,0	30	10	45	2
1,0	30	20	45	3
1,0	30	30	45	3
1,0	30	40	45	4
1,0	30	50	45	4
1,0	30	75	45	6
1,0	30	100	45	7
1,0	30	300	45	14
1,0	30	350	45	15
1,0	30	400	45	17
1,0	30	450	45	18
1,0	30	500	45	20
1,0	30	10	50	2
1,0	30	20	50	3
1,0	30	30	50	3
1,0	30	40	50	4
1,0	30	50	50	5
1,0	30	75	50	6
1,0	30	100	50	7
1,0	30	300	50	15
1,0	30	350	50	17
1,0	30	400	50	18
1,0	30	450	50	20
1,0	30	500	50	22
1,0	40	10	1	1
1,0	40	20	1	1
1,0	40	30	1	1
1,0	40	40	1	1
1,0	40	50	1	1
1,0	40	75	1	1
1,0	40	100	1	1
1,0	40	300	1	1
1,0	40	350	1	1
1,0	40	400	1	1
1,0	40	450	1	1
1,0	40	500	1	1
1,0	40	10	2	1
1,0	40	20	2	1
1,0	40	30	2	1
1,0	40	40	2	1
1,0	40	50	2	1
1,0	40	75	2	1
1,0	40	100	2	1
1,0	40	300	2	2
1,0	40	350	2	2
1,0	40	400	2	2
1,0	40	450	2	2
1,0	40	500	2	2
1,0	40	10	3	1
1,0	40	20	3	1
1,0	40	30	3	1
1,0	40	40	3	1
1,0	40	50	3	1
1,0	40	75	3	1
1,0	40	100	3	1
1,0	40	300	3	2
1,0	40	350	3	2
1,0	40	400	3	2
1,0	40	450	3	2
1,0	40	500	3	2
1,0	40	10	4	1
1,0	40	20	4	1
1,0	40	30	4	1
1,0	40	40	4	1
1,0	40	50	4	1
1,0	40	75	4	1
1,0	40	100	4	1
1,0	40	300	4	2
1,0	40	350	4	3
1,0	40	400	4	3
1,0	40	450	4	3
1,0	40	500	4	3
1,0	40	10	5	1
1,0	40	20	5	1
1,0	40	30	5	1
1,0	40	40	5	1
1,0	40	50	5	1
1,0	40	75	5	1
1,0	40	100	5	2
1,0	40	300	5	3
1,0	40	350	5	3
1,0	40	400	5	3
1,0	40	450	5	3
1,0	40	500	5	3
1,0	40	10	6	1
1,0	40	20	6	1
1,0	40	30	6	1
1,0	40	40	6	1
1,0	40	50	6	1
1,0	40	75	6	2
1,0	40	100	6	2
1,0	40	300	6	3
1,0	40	350	6	3
1,0	40	400	6	3
1,0	40	450	6	4
1,0	40	500	6	4
1,0	40	10	7	1
1,0	40	20	7	1
1,0	40	30	7	1
1,0	40	40	7	1
1,0	40	50	7	1
1,0	40	75	7	2
1,0	40	100	7	2
1,0	40	300	7	3
1,0	40	350	7	4
1,0	40	400	7	4
1,0	40	450	7	4
1,0	40	500	7	4
1,0	40	10	8	1
1,0	40	20	8	1
1,0	40	30	8	1
1,0	40	40	8	1
1,0	40	50	8	2
1,0	40	75	8	2
1,0	40	100	8	2
1,0	40	300	8	4
1,0	40	350	8	4
1,0	40	400	8	4
1,0	40	450	8	5
1,0	40	500	8	5
1,0	40	10	9	1
1,0	40	20	9	1
1,0	40	30	9	1
1,0	40	40	9	1
1,0	40	50	9	2
1,0	40	75	9	2
1,0	40	100	9	2
1,0	40	300	9	4
1,0	40	350	9	4
1,0	40	400	9	4
1,0	40	450	9	5
1,0	40	500	9	5
1,0	40	10	10	1
1,0	40	20	10	1
1,0	40	30	10	1
1,0	40	40	10	2
1,0	40	50	10	2
1,0	40	75	10	2
1,0	40	100	10	2
1,0	40	300	10	4
1,0	40	350	10	4
1,0	40	400	10	5
1,0	40	450	10	5
1,0	40	500	10	5
1,0	40	10	11	1
1,0	40	20	11	1
1,0	40	30	11	1
1,0	40	40	11	2
1,0	40	50	11	2
1,0	40	75	11	2
1,0	40	100	11	2
1,0	40	300	11	4
1,0	40	350	11	5
1,0	40	400	11	5
1,0	40	450	11	5
1,0	40	500	11	6
1,0	40	10	12	1
1,0	40	20	12	1
1,0	40	30	12	1
1,0	40	40	12	2
1,0	40	50	12	2
1,0	40	75	12	2
1,0	40	100	12	3
1,0	40	300	12	5
1,0	40	350	12	5
1,0	40	400	12	5
1,0	40	450	12	6
1,0	40	500	12	6
1,0	40	10	13	1
1,0	40	20	13	1
1,0	40	30	13	2
1,0	40	40	13	2
1,0	40	50	13	2
1,0	40	75	13	2
1,0	40	100	13	3
1,0	40	300	13	5
1,0	40	350	13	5
1,0	40	400	13	6
1,0	40	450	13	6
1,0	40	500	13	6
1,0	40	10	14	1
1,0	40	20	14	1
1,0	40	30	14	2
1,0	40	40	14	2
1,0	40	50	14	2
1,0	40	75	14	2
1,0	40	100	14	3
1,0	40	300	14	5
1,0	40	350	14	6
1,0	40	400	14	6
1,0	40	450	14	6
1,0	40	500	14	7
1,0	40	10	15	1
1,0	40	20	15	1
1,0	40	30	15	2
1,0	40	40	15	2
1,0	40	50	15	2
1,0	40	75	15	3
1,0	40	100	15	3
1,0	40	300	15	5
1,0	40	350	15	6
1,0	40	400	15	6
1,0	40	450	15	7
1,0	40	500	15	7
1,0	40	10	16	1
1,0	40	20	16	1
1,0	40	30	16	2
1,0	40	40	16	2
1,0	40	50	16	2
1,0	40	75	16	3
1,0	40	100	16	3
1,0	40	300	16	5
1,0	40	350	16	6
1,0	40	400	16	7
1,0	40	450	16	7
1,0	40	500	16	7
1,0	40	10	17	1
1,0	40	20	17	1
1,0	40	30	17	2
1,0	40	40	17	2
1,0	40	50	17	2
1,0	40	75	17	3
1,0	40	100	17	3
1,0	40	300	17	6
1,0	40	350	17	6
1,0	40	400	17	7
1,0	40	450	17	7
1,0	40	500	17	7
1,0	40	10	18	1
1,0	40	20	18	1
1,0	40	30	18	2
1,0	40	40	18	2
1,0	40	50	18	2
1,0	40	75	18	3
1,0	40	100	18	3
1,0	40	300	18	6
1,0	40	350	18	7
1,0	40	400	18	7
1,0	40	450	18	8
1,0	40	500	18	8
1,0	40	10	19	1
1,0	40	20	19	2
1,0	40	30	19	2
1,0	40	40	19	2
1,0	40	50	19	2
1,0	40	75	19	3
1,0	40	100	19	3
1,0	40	300	19	6
1,0	40	350	19	7
1,0	40	400	19	7
1,0	40	450	19	8
1,0	40	500	19	8
1,0	40	10	20	1
1,0	40	20	20	2
1,0	40	30	20	2
1,0	40	40	20	2
1,0	40	50	20	2
1,0	40	75	20	3
1,0	40	100	20	3
1,0	40	300	20	6
1,0	40	350	20	7
1,0	40	400	20	8
1,0	40	450	20	8
1,0	40	500	20	9
1,0	40	10	25	1
1,0	40	20	25	2
1,0	40	30	25	2
1,0	40	40	25	2
1,0	40	50	25	3
1,0	40	75	25	3
1,0	40	100	25	4
1,0	40	300	25	7
1,0	40	350	25	8
1,0	40	400	25	9
1,0	40	450	25	10
1,0	40	500	25	10
1,0	40	10	30	1
1,0	40	20	30	2
1,0	40	30	30	2
1,0	40	40	30	3
1,0	40	50	30	3
1,0	40	75	30	4
1,0	40	100	30	4
1,0	40	300	30	8
1,0	40	350	30	9
1,0	40	400	30	10
1,0	40	450	30	11
1,0	40	500	30	12
1,0	40	10	35	1
1,0	40	20	35	2
1,0	40	30	35	2
1,0	40	40	35	3
1,0	40	50	35	3
1,0	40	75	35	4
1,0	40	100	35	5
1,0	40	300	35	9
1,0	40	350	35	10
1,0	40	400	35	11
1,0	40	450	35	12
1,0	40	500	35	13
1,0	40	10	40	2
1,0	40	20	40	2
1,0	40	30	40	3
1,0	40	40	40	3
1,0	40	50	40	3
1,0	40	75	40	4
1,0	40	100	40	5
1,0	40	300	40	10
1,0	40	350	40	11
1,0	40	400	40	13
1,0	40	450	40	14
1,0	40	500	40	15
1,0	40	10	45	2
1,0	40	20	45	2
1,0	40	30	45	3
1,0	40	40	45	3
1,0	40	50	45	4
1,0	40	75	45	5
1,0	40	100	45	6
1,0	40	300	45	11
1,0	40	350	45	13
1,0	40	400	45	14
1,0	40	450	45	15
1,0	40	500	45	16
1,0	40	10	50	2
1,0	40	20	50	2
1,0	40	30	50	3
1,0	40	40	50	3
1,0	40	50	50	4
1,0	40	75	50	5
1,0	40	100	50	6
1,0	40	300	50	12
1,0	40	350	50	14
1,0	40	400	50	15
1,0	40	450	50	16
1,0	40	500	50	17
1,0	50	10	1	1
1,0	50	20	1	1
1,0	50	30	1	1
1,0	50	40	1	1
1,0	50	50	1	1
1,0	50	75	1	1
1,0	50	100	1	1
1,0	50	300	1	1
1,0	50	350	1	1
1,0	50	400	1	1
1,0	50	450	1	1
1,0	50	500	1	1
1,0	50	10	2	1
1,0	50	20	2	1
1,0	50	30	2	1
1,0	50	40	2	1
1,0	50	50	2	1
1,0	50	75	2	1
1,0	50	100	2	1
1,0	50	300	2	1
1,0	50	350	2	2
1,0	50	400	2	2
1,0	50	450	2	2
1,0	50	500	2	2
1,0	50	10	3	1
1,0	50	20	3	1
1,0	50	30	3	1
1,0	50	40	3	1
1,0	50	50	3	1
1,0	50	75	3	1
1,0	50	100	3	1
1,0	50	300	3	2
1,0	50	350	3	2
1,0	50	400	3	2
1,0	50	450	3	2
1,0	50	500	3	2
1,0	50	10	4	1
1,0	50	20	4	1
1,0	50	30	4	1
1,0	50	40	4	1
1,0	50	50	4	1
1,0	50	75	4	1
1,0	50	100	4	1
1,0	50	300	4	2
1,0	50	350	4	2
1,0	50	400	4	2
1,0	50	450	4	3
1,0	50	500	4	3
1,0	50	10	5	1
1,0	50	20	5	1
1,0	50	30	5	1
1,0	50	40	5	1
1,0	50	50	5	1
1,0	50	75	5	1
1,0	50	100	5	2
1,0	50	300	5	2
1,0	50	350	5	3
1,0	50	400	5	3
1,0	50	450	5	3
1,0	50	500	5	3
1,0	50	10	6	1
1,0	50	20	6	1
1,0	50	30	6	1
1,0	50	40	6	1
1,0	50	50	6	1
1,0	50	75	6	1
1,0	50	100	6	2
1,0	50	300	6	3
1,0	50	350	6	3
1,0	50	400	6	3
1,0	50	450	6	3
1,0	50	500	6	3
1,0	50	10	7	1
1,0	50	20	7	1
1,0	50	30	7	1
1,0	50	40	7	1
1,0	50	50	7	1
1,0	50	75	7	2
1,0	50	100	7	2
1,0	50	300	7	3
1,0	50	350	7	3
1,0	50	400	7	3
1,0	50	450	7	4
1,0	50	500	7	4
1,0	50	10	8	1
1,0	50	20	8	1
